ano_premio,certamen,nombre_actor_actriz,genero,pais_origen_nacionalidad,pelicula,idioma_actuacion,carrera_previa_hollywood,fue_nominado_oscar
1971,BAFTA,Katharine Ross,Femenino,Estados Unidos,Butch Cassidy and the Sundance Kid,Inglés,Sí,No
1971,BAFTA,Robert Redford,Masculino,Estados Unidos,Tell Them Willie Boy Is Here,Inglés,Sí,No
1971,Festival de Berlín,Jean Gabin,Masculino,Francia,Le Chat,Francés,No,No
1971,Festival de Berlín,Shirley MacLaine,Femenino,Estados Unidos,Desperate Characters,Inglés,Sí,No
1971,Festival de Berlín,Simone Signoret,Femenino,Francia,Le Chat,Francés,Sí,No
1971,Festival de Cannes,Kitty Winn,Femenino,Estados Unidos,The Panic in Needle Park,Inglés,Sí,No
1971,Festival de Cannes,Riccardo Cucciolla,Masculino,Italia,Sacco e Vanzetti,Italiano,No,No
1971,Globo de Oro,Albert Finney,Masculino,Reino Unido,Scrooge,Inglés,Sí,No
1971,Globo de Oro,Ali MacGraw,Femenino,Estados Unidos,Love Story,Inglés,Sí,Sí
1971,Globo de Oro,Carrie Snodgress,Femenino,Estados Unidos,Diary of a Mad Housewife,Inglés,Sí,Sí
1971,Globo de Oro,George C. Scott,Masculino,Estados Unidos,Patton,Inglés,Sí,Sí
1972,BAFTA,Glenda Jackson,Femenino,Reino Unido,Sunday Bloody Sunday,Inglés,No,Sí
1972,BAFTA,Peter Finch,Masculino,Australia,Sunday Bloody Sunday,Inglés,No,Sí
1972,Festival de Berlín,Alberto Sordi,Masculino,Italia,Detenuto in attesa di giudizio,Italiano,No,No
1972,Festival de Berlín,Elizabeth Taylor,Femenino,Estados Unidos,Hammersmith Is Out,Inglés,Sí,No
1972,Festival de Cannes,Jean Yanne,Masculino,Francia,Nous ne vieillirons pas ensemble,Francés,No,No
1972,Festival de Cannes,Susannah York,Femenino,Reino Unido,Images,Inglés,Sí,No
1972,Globo de Oro,Chaim Topol,Masculino,Israel,Fiddler on the Roof,Inglés,No,Sí
1972,Globo de Oro,Gene Hackman,Masculino,Estados Unidos,The French Connection,Inglés,Sí,Sí
1972,Globo de Oro,Jane Fonda,Femenino,Estados Unidos,Klute,Inglés,Sí,Sí
1972,Globo de Oro,Twiggy,Femenino,Reino Unido,The Boy Friend,Inglés,No,No
1973,BAFTA,Gene Hackman,Masculino,Estados Unidos,The French Connection,Inglés,Sí,Sí
1973,BAFTA,Liza Minnelli,Femenino,Estados Unidos,Cabaret,Inglés,Sí,Sí
1973,Festival de Cannes,Giancarlo Giannini,Masculino,Italia,Film d'amore e d'anarchia,Italiano,No,No
1973,Festival de Cannes,Joanne Woodward,Femenino,Estados Unidos,The Effect of Gamma Rays...,Inglés,Sí,No
1973,Globo de Oro,Jack Lemmon,Masculino,Estados Unidos,Avanti!,Inglés,Sí,No
1973,Globo de Oro,Liv Ullmann,Femenino,Noruega,Utvandrarna,Sueco,No,Sí
1973,Globo de Oro,Liza Minnelli,Femenino,Estados Unidos,Cabaret,Inglés,Sí,Sí
1973,Globo de Oro,Marlon Brando,Masculino,Estados Unidos,The Godfather,Inglés,Sí,Sí
1974,BAFTA,Stephane Audran,Femenino,Francia,Juste avant la nuit,Francés,No,No
1974,BAFTA,Walter Matthau,Masculino,Estados Unidos,Charley Varrick,Inglés,Sí,No
1974,Festival de Cannes,Jack Nicholson,Masculino,Estados Unidos,The Last Detail,Inglés,Sí,Sí
1974,Festival de Cannes,Marie-José Nat,Femenino,Francia,Les Violons du bal,Francés,No,No
1974,Globo de Oro,Al Pacino,Masculino,Estados Unidos,Serpico,Inglés,Sí,Sí
1974,Globo de Oro,George Segal,Masculino,Estados Unidos,A Touch of Class,Inglés,Sí,No
1974,Globo de Oro,Glenda Jackson,Femenino,Reino Unido,A Touch of Class,Inglés,Sí,Sí
1974,Globo de Oro,Marsha Mason,Femenino,Estados Unidos,Cinderella Liberty,Inglés,Sí,Sí
1975,BAFTA,Jack Lemmon,Masculino,Estados Unidos,Save the Tiger,Inglés,Sí,Sí
1975,BAFTA,Joanne Woodward,Femenino,Estados Unidos,"Summer Wishes, Winter Dreams",Inglés,Sí,Sí
1975,Festival de Berlín,Kinuyo Tanaka,Femenino,Japón,Sandakan Hachiban Shokan: Mochiru,Japonés,No,No
1975,Festival de Berlín,Michel Constantin,Masculino,Francia,La Traque,Francés,No,No
1975,Festival de Cannes,Dustin Hoffman,Masculino,Estados Unidos,Lenny,Inglés,Sí,Sí
1975,Festival de Cannes,Valerie Perrine,Femenino,Estados Unidos,Lenny,Inglés,Sí,Sí
1975,Globo de Oro,Art Carney,Masculino,Estados Unidos,Harry and Tonto,Inglés,Sí,Sí
1975,Globo de Oro,Gena Rowlands,Femenino,Estados Unidos,A Woman Under the Influence,Inglés,Sí,Sí
1975,Globo de Oro,Jack Nicholson,Masculino,Estados Unidos,Chinatown,Inglés,Sí,Sí
1975,Globo de Oro,Raquel Welch,Femenino,Estados Unidos,The Three Musketeers,Inglés,Sí,No
1976,BAFTA,Al Pacino,Masculino,Estados Unidos,Dog Day Afternoon,Inglés,Sí,Sí
1976,BAFTA,Ellen Burstyn,Femenino,Estados Unidos,Alice Doesn't Live Here Anymore,Inglés,Sí,Sí
1976,Festival de Berlín,Gerd Osterland,Masculino,Alemania,Karl der Große,Alemán,No,No
1976,Festival de Berlín,Jadwiga Barańska,Femenino,Polonia,Noce i dnie,Polaco,No,No
1976,Festival de Cannes,Dominique Sanda,Femenino,Francia,L'eredità Ferramonti,Italiano,No,No
1976,Festival de Cannes,Jose Luis Gomez,Masculino,España,Pascual Duarte,Español,No,No
1976,Globo de Oro,Ann-Margret,Femenino,Suecia,Tommy,Inglés,Sí,Sí
1976,Globo de Oro,Jack Nicholson,Masculino,Estados Unidos,One Flew Over the Cuckoo's Nest,Inglés,Sí,Sí
1976,Globo de Oro,Louise Fletcher,Femenino,Estados Unidos,One Flew Over the Cuckoo's Nest,Inglés,Sí,Sí
1976,Globo de Oro,Walter Matthau,Masculino,Estados Unidos,The Sunshine Boys,Inglés,Sí,Sí
1977,BAFTA,Jack Nicholson,Masculino,Estados Unidos,One Flew Over the Cuckoo's Nest,Inglés,Sí,Sí
1977,BAFTA,Louise Fletcher,Femenino,Estados Unidos,One Flew Over the Cuckoo's Nest,Inglés,Sí,Sí
1977,Festival de Berlín,Fernando Fernán Gómez,Masculino,España,El anacoreta,Español,No,No
1977,Festival de Berlín,Lily Tomlin,Femenino,Estados Unidos,The Late Show,Inglés,Sí,No
1977,Festival de Cannes,Fernando Rey,Masculino,España,"Elisa, vida mía",Español,No,No
1977,Festival de Cannes,Monique Mercure,Femenino,Canadá,J.A. Martin photographe,Francés,No,No
1977,Globo de Oro,Barbra Streisand,Femenino,Estados Unidos,A Star Is Born,Inglés,Sí,No
1977,Globo de Oro,Faye Dunaway,Femenino,Estados Unidos,Network,Inglés,Sí,Sí
1977,Globo de Oro,Kris Kristofferson,Masculino,Estados Unidos,A Star Is Born,Inglés,Sí,No
1977,Globo de Oro,Peter Finch,Masculino,Reino Unido,Network,Inglés,Sí,Sí
1978,BAFTA,Diane Keaton,Femenino,Estados Unidos,Annie Hall,Inglés,Sí,Sí
1978,BAFTA,Peter Finch,Masculino,Australia,Network,Inglés,Sí,Sí
1978,Festival de Berlín,Craig Russell,Masculino,Canadá,Outrageous!,Inglés,No,No
1978,Festival de Berlín,Gena Rowlands,Femenino,Estados Unidos,Opening Night,Inglés,Sí,No
1978,Festival de Cannes,Jill Clayburgh,Femenino,Estados Unidos,An Unmarried Woman,Inglés,Sí,Sí
1978,Festival de Cannes,Jon Voight,Masculino,Estados Unidos,Coming Home,Inglés,Sí,Sí
1978,Globo de Oro,Diane Keaton,Femenino,Estados Unidos,Annie Hall,Inglés,Sí,Sí
1978,Globo de Oro,Jane Fonda,Femenino,Estados Unidos,Julia,Inglés,Sí,Sí
1978,Globo de Oro,Richard Burton,Masculino,Reino Unido,Equus,Inglés,Sí,Sí
1978,Globo de Oro,Richard Dreyfuss,Masculino,Estados Unidos,The Goodbye Girl,Inglés,Sí,Sí
1979,BAFTA,Jane Fonda,Femenino,Estados Unidos,Julia,Inglés,Sí,Sí
1979,BAFTA,Richard Dreyfuss,Masculino,Estados Unidos,The Goodbye Girl,Inglés,Sí,Sí
1979,Festival de Berlín,Hanna Schygulla,Femenino,Alemania,Die Ehe der Maria Braun,Alemán,No,No
1979,Festival de Berlín,Michele Placido,Masculino,Italia,Ernesto,Italiano,No,No
1979,Festival de Cannes,Jack Lemmon,Masculino,Estados Unidos,The China Syndrome,Inglés,Sí,Sí
1979,Festival de Cannes,Sally Field,Femenino,Estados Unidos,Norma Rae,Inglés,Sí,Sí
1979,Globo de Oro,Ellen Burstyn,Femenino,Estados Unidos,"Same Time, Next Year",Inglés,Sí,Sí
1979,Globo de Oro,Jane Fonda,Femenino,Estados Unidos,Coming Home,Inglés,Sí,Sí
1979,Globo de Oro,Jon Voight,Masculino,Estados Unidos,Coming Home,Inglés,Sí,Sí
1979,Globo de Oro,Warren Beatty,Masculino,Estados Unidos,Heaven Can Wait,Inglés,Sí,Sí
1980,BAFTA,Jack Lemmon,Masculino,Estados Unidos,The China Syndrome,Inglés,Sí,Sí
1980,BAFTA,Jane Fonda,Femenino,Estados Unidos,The China Syndrome,Inglés,Sí,Sí
1980,Festival de Berlín,Andrzej Seweryn,Masculino,Polonia,Dyrygent,Polaco,No,No
1980,Festival de Berlín,Renate Krößner,Femenino,Alemania,Solo Sunny,Alemán,No,No
1980,Festival de Cannes,Anouk Aimée,Femenino,Francia,Salto nel vuoto,Italiano,No,No
1980,Festival de Cannes,Michel Piccoli,Masculino,Francia,Salto nel vuoto,Italiano,No,No
1980,Globo de Oro,Bette Midler,Femenino,Estados Unidos,The Rose,Inglés,Sí,Sí
1980,Globo de Oro,Dustin Hoffman,Masculino,Estados Unidos,Kramer vs. Kramer,Inglés,Sí,Sí
1980,Globo de Oro,Peter Sellers,Masculino,Reino Unido,Being There,Inglés,Sí,Sí
1980,Globo de Oro,Sally Field,Femenino,Estados Unidos,Norma Rae,Inglés,Sí,Sí
1981,BAFTA,John Hurt,Masculino,Reino Unido,The Elephant Man,Inglés,No,Sí
1981,BAFTA,Judy Davis,Femenino,Australia,My Brilliant Career,Inglés,No,No
1981,Festival de Berlín,Anatoly Solonitsyn,Masculino,Rusia,26 dni iz zhizni Dostoevskogo,Ruso,No,No
1981,Festival de Berlín,Barbara Grabowska,Femenino,Polonia,Gorączka,Polaco,No,No
1981,Festival de Cannes,Isabelle Adjani,Femenino,Francia,Possession / Quartet,Francés / Inglés,No,No
1981,Festival de Cannes,Ugo Tognazzi,Masculino,Italia,La tragedia di un uomo ridicolo,Italiano,No,No
1981,Globo de Oro,Mary Tyler Moore,Femenino,Estados Unidos,Ordinary People,Inglés,Sí,Sí
1981,Globo de Oro,Ray Sharkey,Masculino,Estados Unidos,The Idolmaker,Inglés,Sí,No
1981,Globo de Oro,Robert De Niro,Masculino,Estados Unidos,Raging Bull,Inglés,Sí,Sí
1981,Globo de Oro,Sissy Spacek,Femenino,Estados Unidos,Coal Miner's Daughter,Inglés,Sí,Sí
1982,BAFTA,Burt Lancaster,Masculino,Estados Unidos,Atlantic City,Inglés,Sí,Sí
1982,BAFTA,Meryl Streep,Femenino,Estados Unidos,The French Lieutenant's Woman,Inglés,Sí,Sí
1982,Festival de Berlín,Katrin Saß,Femenino,Alemania,Bürgschaft für ein Jahr,Alemán,No,No
1982,Festival de Berlín,Michel Piccoli,Masculino,Francia,Une étrange affaire,Francés,No,No
1982,Festival de Cannes,Jack Lemmon,Masculino,Estados Unidos,Missing,Inglés,Sí,Sí
1982,Festival de Cannes,Jadwiga Jankowska-Cieślak,Femenino,Polonia,Egymásra nézve,Húngaro,No,No
1982,Globo de Oro,Bernadette Peters,Femenino,Estados Unidos,Pennies from Heaven,Inglés,Sí,No
1982,Globo de Oro,Dudley Moore,Masculino,Reino Unido,Arthur,Inglés,Sí,Sí
1982,Globo de Oro,Henry Fonda,Masculino,Estados Unidos,On Golden Pond,Inglés,Sí,Sí
1982,Globo de Oro,Meryl Streep,Femenino,Estados Unidos,The French Lieutenant's Woman,Inglés,Sí,Sí
1983,BAFTA,Ben Kingsley,Masculino,Reino Unido,Gandhi,Inglés,No,Sí
1983,BAFTA,Katharine Hepburn,Femenino,Estados Unidos,On Golden Pond,Inglés,Sí,Sí
1983,Festival de Berlín,Bruce Dern,Masculino,Estados Unidos,That Championship Season,Inglés,Sí,No
1983,Festival de Berlín,Evgeniya Glushenko,Femenino,Rusia,Vlyublyon po sobstvennomu zhelaniyu,Ruso,No,No
1983,Festival de Cannes,Gian Maria Volonté,Masculino,Italia,La mort de Mario Ricci,Francés,No,No
1983,Festival de Cannes,Hanna Schygulla,Femenino,Alemania,Storia di Piera,Italiano,No,No
1983,Globo de Oro,Ben Kingsley,Masculino,Reino Unido,Gandhi,Inglés,No,Sí
1983,Globo de Oro,Dustin Hoffman,Masculino,Estados Unidos,Tootsie,Inglés,Sí,Sí
1983,Globo de Oro,Julie Andrews,Femenino,Reino Unido,Victor/Victoria,Inglés,Sí,Sí
1983,Globo de Oro,Meryl Streep,Femenino,Estados Unidos,Sophie's Choice,Inglés / Alemán,Sí,Sí
1984,BAFTA,Julie Walters,Femenino,Reino Unido,Educating Rita,Inglés,No,Sí
1984,BAFTA,Michael Caine,Masculino,Reino Unido,Educating Rita,Inglés,Sí,Sí
1984,Festival de Berlín,Albert Finney,Masculino,Reino Unido,The Dresser,Inglés,Sí,Sí
1984,Festival de Berlín,Inna Churikova,Femenino,Rusia,Voyenno-polevoy roman,Ruso,No,No
1984,Festival de Cannes,Alfredo Landa,Masculino,España,Los santos inocentes,Español,No,No
1984,Festival de Cannes,Francisco Rabal,Masculino,España,Los santos inocentes,Español,No,No
1984,Festival de Cannes,Helen Mirren,Femenino,Reino Unido,Cal,Inglés,No,No
1984,Globo de Oro,Barbra Streisand,Femenino,Estados Unidos,Yentl,Inglés,Sí,No
1984,Globo de Oro,Michael Caine,Masculino,Reino Unido,Educating Rita,Inglés,Sí,Sí
1984,Globo de Oro,Robert Duvall,Masculino,Estados Unidos,Tender Mercies,Inglés,Sí,Sí
1984,Globo de Oro,Shirley MacLaine,Femenino,Estados Unidos,Terms of Endearment,Inglés,Sí,Sí
1984,Globo de Oro,Tom Courtenay,Masculino,Reino Unido,The Dresser,Inglés,Sí,Sí
1985,BAFTA,Haing S. Ngor,Masculino,Camboya,The Killing Fields,Inglés,No,Sí
1985,BAFTA,Maggie Smith,Femenino,Reino Unido,A Private Function,Inglés,No,No
1985,Festival de Berlín,Fernando Fernán Gómez,Masculino,España,Stico,Español,No,No
1985,Festival de Berlín,Jo Kennedy,Femenino,Australia,Wrong World,Inglés,No,No
1985,Festival de Cannes,Cher,Femenino,Estados Unidos,Mask,Inglés,Sí,No
1985,Festival de Cannes,William Hurt,Masculino,Estados Unidos,Kiss of the Spider Woman,Inglés,Sí,Sí
1985,Globo de Oro,Dudley Moore,Masculino,Reino Unido,Micki & Maude,Inglés,Sí,No
1985,Globo de Oro,F. Murray Abraham,Masculino,Estados Unidos,Amadeus,Inglés,Sí,Sí
1985,Globo de Oro,Kathleen Turner,Femenino,Estados Unidos,Romancing the Stone,Inglés,Sí,No
1985,Globo de Oro,Sally Field,Femenino,Estados Unidos,Places in the Heart,Inglés,Sí,Sí
1986,BAFTA,Peggy Ashcroft,Femenino,Reino Unido,A Passage to India,Inglés,No,Sí
1986,BAFTA,William Hurt,Masculino,Estados Unidos,Kiss of the Spider Woman,Inglés,Sí,Sí
1986,Festival de Berlín,Charlotte Valandrey,Femenino,Francia,Rouge Baiser,Francés,No,No
1986,Festival de Berlín,Tuncel Kurtiz,Masculino,Turquía,Hiuch HaGideon,Hebreo,No,No
1986,Festival de Cannes,Barbara Sukowa,Femenino,Alemania,Rosa Luxemburg,Alemán,No,No
1986,Festival de Cannes,Michel Blanc,Masculino,Francia,Tenue de soirée,Francés,No,No
1986,Festival de Venecia,Carlo Delle Piane,Masculino,Italia,Regalo di Natale,Italiano,No,No
1986,Festival de Venecia,Valeria Golino,Femenino,Italia,Storia d'amore,Italiano,No,No
1986,Globo de Oro,Jack Nicholson,Masculino,Estados Unidos,Prizzi's Honor,Inglés,Sí,Sí
1986,Globo de Oro,Jon Voight,Masculino,Estados Unidos,Runaway Train,Inglés,Sí,Sí
1986,Globo de Oro,Kathleen Turner,Femenino,Estados Unidos,Prizzi's Honor,Inglés,Sí,No
1986,Globo de Oro,Whoopi Goldberg,Femenino,Estados Unidos,The Color Purple,Inglés,No,Sí
1987,BAFTA,Bob Hoskins,Masculino,Reino Unido,Mona Lisa,Inglés,Sí,Sí
1987,BAFTA,Maggie Smith,Femenino,Reino Unido,A Room with a View,Inglés,No,Sí
1987,Festival de Berlín,Ana Beatriz Nogueira,Femenino,Brasil,Vera,Portugués,No,No
1987,Festival de Berlín,Gian Maria Volonté,Masculino,Italia,Il caso Moro,Italiano,No,No
1987,Festival de Cannes,Barbara Hershey,Femenino,Estados Unidos,Shy People,Inglés,Sí,No
1987,Festival de Cannes,Marcello Mastroianni,Masculino,Italia,Oci ciornie,Italiano,No,Sí
1987,Festival de Venecia,Hugh Grant,Masculino,Reino Unido,Maurice,Inglés,No,No
1987,Festival de Venecia,Kang Soo-yeon,Femenino,Corea del Sur,The Surrogate Woman,Coreano,No,No
1987,Globo de Oro,Bob Hoskins,Masculino,Reino Unido,Mona Lisa,Inglés,Sí,Sí
1987,Globo de Oro,Marlee Matlin,Femenino,Estados Unidos,Children of a Lesser God,Lengua de señas / Inglés,No,Sí
1987,Globo de Oro,Paul Hogan,Masculino,Australia,Crocodile Dundee,Inglés,No,No
1987,Globo de Oro,Sissy Spacek,Femenino,Estados Unidos,Crimes of the Heart,Inglés,Sí,Sí
1988,BAFTA,Anne Bancroft,Femenino,Estados Unidos,84 Charing Cross Road,Inglés,Sí,No
1988,BAFTA,Sean Connery,Masculino,Reino Unido,Der Name der Rose,Inglés,Sí,No
1988,Festival de Berlín,Holly Hunter,Femenino,Estados Unidos,Broadcast News,Inglés,Sí,Sí
1988,Festival de Berlín,Jörg Pose,Masculino,Alemania,Einer trage des anderen Last...,Alemán,No,No
1988,Festival de Cannes,Barbara Hershey,Femenino,Estados Unidos,A World Apart,Inglés,Sí,No
1988,Festival de Cannes,Forest Whitaker,Masculino,Estados Unidos,Bird,Inglés,Sí,No
1988,Festival de Venecia,Don Ameche,Masculino,Estados Unidos,Things Change,Inglés,Sí,No
1988,Festival de Venecia,Isabelle Huppert,Femenino,Francia,Une affaire de femmes,Francés,No,No
1988,Festival de Venecia,Shirley MacLaine,Femenino,Estados Unidos,Madame Sousatzka,Inglés,Sí,No
1988,Globo de Oro,Cher,Femenino,Estados Unidos,Moonstruck,Inglés,Sí,Sí
1988,Globo de Oro,Jodie Foster,Femenino,Estados Unidos,The Accused,Inglés,Sí,Sí
1988,Globo de Oro,Michael Douglas,Masculino,Estados Unidos,Wall Street,Inglés,Sí,Sí
1988,Globo de Oro,Robin Williams,Masculino,Estados Unidos,"Good Morning, Vietnam",Inglés,Sí,Sí
1988,Globo de Oro,Shirley MacLaine,Femenino,Estados Unidos,Madame Sousatzka,Inglés,Sí,No
1988,Globo de Oro,Sigourney Weaver,Femenino,Estados Unidos,Gorillas in the Mist,Inglés,Sí,Sí
1989,BAFTA,John Cleese,Masculino,Reino Unido,A Fish Called Wanda,Inglés,Sí,No
1989,BAFTA,Maggie Smith,Femenino,Reino Unido,The Lonely Passion of Judith Hearne,Inglés,No,No
1989,Festival de Berlín,Gene Hackman,Masculino,Estados Unidos,Mississippi Burning,Inglés,Sí,Sí
1989,Festival de Berlín,Isabelle Adjani,Femenino,Francia,Camille Claudel,Francés,Sí,Sí
1989,Festival de Cannes,James Spader,Masculino,Estados Unidos,"Sex, Lies, and Videotape",Inglés,Sí,No
1989,Festival de Cannes,Meryl Streep,Femenino,Estados Unidos,A Cry in the Dark,Inglés,Sí,Sí
1989,Festival de Venecia,Marcello Mastroianni,Masculino,Italia,Che ora è?,Italiano,No,No
1989,Festival de Venecia,Peggy Ashcroft,Femenino,Reino Unido,She's Been Away,Inglés,No,No
1989,Globo de Oro,Dustin Hoffman,Masculino,Estados Unidos,Rain Man,Inglés,Sí,Sí
1989,Globo de Oro,Melanie Griffith,Femenino,Estados Unidos,Working Girl,Inglés,Sí,Sí
1989,Globo de Oro,Sigourney Weaver,Femenino,Estados Unidos,Gorillas in the Mist,Inglés,Sí,Sí
1989,Globo de Oro,Tom Hanks,Masculino,Estados Unidos,Big,Inglés,Sí,Sí
1990,BAFTA,Daniel Day-Lewis,Masculino,Reino Unido,My Left Foot,Inglés,No,Sí
1990,BAFTA,Pauline Collins,Femenino,Reino Unido,Shirley Valentine,Inglés,No,Sí
1990,Festival de Berlín,Iain Glen,Masculino,Reino Unido,Silent Scream,Inglés,No,No
1990,Festival de Berlín,Jessica Tandy,Femenino,Estados Unidos,Driving Miss Daisy,Inglés,Sí,Sí
1990,Festival de Cannes,Gérard Depardieu,Masculino,Francia,Cyrano de Bergerac,Francés,No,Sí
1990,Festival de Cannes,Krystyna Janda,Femenino,Polonia,Przesłuchanie,Polaco,No,No
1990,Festival de Venecia,Gloria Münchmeyer,Femenino,Chile,La luna en el espejo,Español,No,No
1990,Festival de Venecia,Oleg Borisov,Masculino,Unión Soviética,Edinstveniyat svidetel,Búlgaro,No,No
1990,Globo de Oro,Jessica Tandy,Femenino,Reino Unido,Driving Miss Daisy,Inglés,Sí,Sí
1990,Globo de Oro,Michelle Pfeiffer,Femenino,Estados Unidos,The Fabulous Baker Boys,Inglés,Sí,Sí
1990,Globo de Oro,Morgan Freeman,Masculino,Estados Unidos,Driving Miss Daisy,Inglés,Sí,Sí
1990,Globo de Oro,Tom Cruise,Masculino,Estados Unidos,Born on the Fourth of July,Inglés,Sí,Sí
1991,BAFTA,Jessica Tandy,Femenino,Reino Unido,Driving Miss Daisy,Inglés,Sí,Sí
1991,BAFTA,Philippe Noiret,Masculino,Francia,Cinema Paradiso,Italiano,No,No
1991,Festival de Berlín,Maynard Eziashi,Masculino,Nigeria,Mister Johnson,Inglés,No,No
1991,Festival de Berlín,Victoria Abril,Femenino,España,Amantes,Español,No,No
1991,Festival de Cannes,Irène Jacob,Femenino,Francia,La double vie de Véronique,Francés / Polaco,No,No
1991,Festival de Cannes,John Turturro,Masculino,Estados Unidos,Barton Fink,Inglés,Sí,No
1991,Festival de Venecia,River Phoenix,Masculino,Estados Unidos,My Own Private Idaho,Inglés,Sí,No
1991,Festival de Venecia,Tilda Swinton,Femenino,Reino Unido,Edward II,Inglés,No,No
1991,Globo de Oro,Gérard Depardieu,Masculino,Francia,Green Card,Inglés / Francés,No,No
1991,Globo de Oro,Jeremy Irons,Masculino,Reino Unido,Reversal of Fortune,Inglés,Sí,Sí
1991,Globo de Oro,Julia Roberts,Femenino,Estados Unidos,Pretty Woman,Inglés,Sí,Sí
1991,Globo de Oro,Kathy Bates,Femenino,Estados Unidos,Misery,Inglés,Sí,Sí
1992,BAFTA,Anthony Hopkins,Masculino,Reino Unido,The Silence of the Lambs,Inglés,Sí,Sí
1992,BAFTA,Jodie Foster,Femenino,Estados Unidos,The Silence of the Lambs,Inglés,Sí,Sí
1992,Festival de Berlín,Armin Mueller-Stahl,Masculino,Alemania,Utz,Inglés,No,No
1992,Festival de Berlín,Maggie Cheung,Femenino,Hong Kong,Center Stage,Cantonés,No,No
1992,Festival de Cannes,Pernilla August,Femenino,Suecia,Den goda viljan,Sueco,No,No
1992,Festival de Cannes,Tim Robbins,Masculino,Estados Unidos,The Player,Inglés,Sí,No
1992,Festival de Venecia,Gong Li,Femenino,China,Qiu Ju da guan si,Chino mandarín,No,No
1992,Festival de Venecia,Jack Lemmon,Masculino,Estados Unidos,Glengarry Glen Ross,Inglés,Sí,No
1992,Globo de Oro,Bette Midler,Femenino,Estados Unidos,For the Boys,Inglés,Sí,Sí
1992,Globo de Oro,Jodie Foster,Femenino,Estados Unidos,The Silence of the Lambs,Inglés,Sí,Sí
1992,Globo de Oro,Nick Nolte,Masculino,Estados Unidos,The Prince of Tides,Inglés,Sí,Sí
1992,Globo de Oro,Robin Williams,Masculino,Estados Unidos,The Fisher King,Inglés,Sí,Sí
1993,BAFTA,Emma Thompson,Femenino,Reino Unido,Howards End,Inglés,No,Sí
1993,BAFTA,Robert Downey Jr.,Masculino,Estados Unidos,Chaplin,Inglés,Sí,Sí
1993,Festival de Berlín,Denzel Washington,Masculino,Estados Unidos,Malcolm X,Inglés,Sí,Sí
1993,Festival de Berlín,Michelle Pfeiffer,Femenino,Estados Unidos,Love Field,Inglés,Sí,Sí
1993,Festival de Cannes,David Thewlis,Masculino,Reino Unido,Naked,Inglés,No,No
1993,Festival de Cannes,Holly Hunter,Femenino,Estados Unidos,The Piano,Inglés,Sí,Sí
1993,Festival de Venecia,Fabricio Bentivoglio,Masculino,Italia,Un anima divisa in due,Italiano,No,No
1993,Festival de Venecia,Juliette Binoche,Femenino,Francia,Trois couleurs: Bleu,Francés,No,No
1993,Globo de Oro,Al Pacino,Masculino,Estados Unidos,Scent of a Woman,Inglés,Sí,Sí
1993,Globo de Oro,Emma Thompson,Femenino,Reino Unido,Howards End,Inglés,No,Sí
1993,Globo de Oro,Miranda Richardson,Femenino,Reino Unido,Enchanted April,Inglés,No,No
1993,Globo de Oro,Tim Robbins,Masculino,Estados Unidos,The Player,Inglés,Sí,No
1994,BAFTA,Anthony Hopkins,Masculino,Reino Unido,The Remains of the Day,Inglés,Sí,Sí
1994,BAFTA,Holly Hunter,Femenino,Estados Unidos,The Piano,Inglés,Sí,Sí
1994,Festival de Berlín,Crissy Rock,Femenino,Reino Unido,"Ladybird, Ladybird",Inglés,No,No
1994,Festival de Berlín,Tom Hanks,Masculino,Estados Unidos,Philadelphia,Inglés,Sí,Sí
1994,Festival de Cannes,Ge You,Masculino,China,To Live,Chino mandarín,No,No
1994,Festival de Cannes,Virna Lisi,Femenino,Italia,La Reine Margot,Francés,No,No
1994,Festival de Venecia,Maria de Medeiros,Femenino,Portugal,Três Irmãos,Portugués,No,No
1994,Festival de Venecia,Xia Yu,Masculino,China,Yang guang can lan de di fang,Chino mandarín,No,No
1994,Globo de Oro,Angela Bassett,Femenino,Estados Unidos,What's Love Got to Do with It,Inglés,Sí,Sí
1994,Globo de Oro,Holly Hunter,Femenino,Estados Unidos,The Piano,Inglés,Sí,Sí
1994,Globo de Oro,Robin Williams,Masculino,Estados Unidos,Mrs. Doubtfire,Inglés,Sí,No
1994,Globo de Oro,Tom Hanks,Masculino,Estados Unidos,Philadelphia,Inglés,Sí,Sí
1995,BAFTA,Hugh Grant,Masculino,Reino Unido,Four Weddings and a Funeral,Inglés,No,No
1995,BAFTA,Susan Sarandon,Femenino,Estados Unidos,The Client,Inglés,Sí,Sí
1995,Festival de Berlín,Paul Newman,Masculino,Estados Unidos,Nobody's Fool,Inglés,Sí,Sí
1995,Festival de Berlín,Sheng Hong,Femenino,China,Dayu Zhai,Chino mandarín,No,No
1995,Festival de Cannes,Helen Mirren,Femenino,Reino Unido,The Madness of King George,Inglés,Sí,Sí
1995,Festival de Cannes,Jonathan Pryce,Masculino,Reino Unido,Carrington,Inglés,No,No
1995,Festival de Venecia,Gotaro Tsunashima,Masculino,Japón,The Maborosi,Japonés,No,No
1995,Festival de Venecia,Isabelle Huppert,Femenino,Francia,La Cérémonie,Francés,No,No
1995,Festival de Venecia,Sandrine Bonnaire,Femenino,Francia,La Cérémonie,Francés,No,No
1995,Globo de Oro,Hugh Grant,Masculino,Reino Unido,Four Weddings and a Funeral,Inglés,No,No
